书名,详情链接,作者,评分,建平
棋王,https://book.douban.com/subject/1020961/,阿城 ,8.8,['我从未真正见过火，也未见过毁灭，更不知新生']
最好的我们,https://book.douban.com/subject/24754316/,八月长安 ,8.7,['耿耿余淮']
失明症漫记,https://book.douban.com/subject/20428302/,(葡)若泽·萨拉马戈 ,9.1,['失明症迅速蔓延，整个城市陷入一场空前的灾难']
上学记,https://book.douban.com/subject/1859140/,何兆武 口述 ,8.9,['20世纪中国知识分子的心灵史']
顾城的诗,https://book.douban.com/subject/1033825/,顾城 ,8.8,['火焰是我们诗歌唯一的读者']
荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 ,8.6,['澳洲乱世情']
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸 ,8.6,['不识张郎是张郎']
此生未完成,https://book.douban.com/subject/6397275/,于娟 ,8.9,['一个母亲、妻子、女儿的生命日记']
雨季不再来,https://book.douban.com/subject/2136140/,三毛 ,8.7,['三毛少女时代的成长感受']
人间草木,https://book.douban.com/subject/1253310/,汪曾祺 ,9.0,['我就是要这样香，香得痛痛快快']
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,[巴西] 保罗·柯艾略 ,8.5,['你自己就是最大的宝藏']
我的天才女友,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 ,8.5,['“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争']
草房子,https://book.douban.com/subject/1052990/,曹文轩 ,9.0,['男孩桑桑刻骨铭心、终身难忘的六年小学生活']
理想国,https://book.douban.com/subject/1004821/,[古希腊] 柏拉图 ,8.7,['人类历史上最早的乌托邦']
正见,https://book.douban.com/subject/1963912/,宗萨蒋扬钦哲仁波切 ,8.8,['佛陀的证悟']
雷雨,https://book.douban.com/subject/1013416/,曹禺 ,8.6,['一幕人生大悲剧，在一个雷雨夜爆发']
茶馆,https://book.douban.com/subject/1036613/,老舍 ,9.0,['清末、民初、抗战胜利以后三个历史时期的北京生活风貌']
孙子兵法,https://book.douban.com/subject/1949420/,孙武 ,9.4,['我国最古老最杰出的一部兵书']
一千零一夜,https://book.douban.com/subject/1035848/,纳训 ,8.7,['阿拉伯地区的古代民间传说']
认识电影,https://book.douban.com/subject/2326403/,[美] 路易斯·贾内梯 ,8.9,['电影入门经典之作']
青铜时代,https://book.douban.com/subject/1085883/,王小波 ,8.7,['唐人传奇贯注现代情趣']
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 ,8.6,['替天行道']
从一到无穷大,https://book.douban.com/subject/1102715/,[美] G. 伽莫夫 ,9.1,['科学中的事实和臆测']
巨流河,https://book.douban.com/subject/4842446/,齐邦媛 ,8.7,['两代人从巨流河到哑口海的故事']
一桩事先张扬的凶杀案,https://book.douban.com/subject/24382569/,[哥伦比亚] 加西亚·马尔克斯 ,8.7,['我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯']
圣经,https://book.douban.com/subject/1803022/,中国基督教协会 ,9.0,['上帝说，要有光']
黑客与画家,https://book.douban.com/subject/6021440/,[美] Paul Graham ,8.7,['硅谷创业之父Paul Graham文集']
中国哲学简史,https://book.douban.com/subject/1021273/,冯友兰 ,8.9,['中国哲学入门书']
火星救援,https://book.douban.com/subject/26586492/,[美] 安迪·威尔 ,8.9,['跟火星来一场不是你死就是我活的过家家游戏']
海风中失落的血色馈赠,https://book.douban.com/subject/26357614/,[加拿大] 阿利斯泰尔·麦克劳德 ,9.1,['男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟']
额尔古纳河右岸,https://book.douban.com/subject/3311253/,迟子建 ,9.0,['东北少数民族鄂温克人生存现状及百年沧桑']
银河帝国：基地七部曲,https://book.douban.com/subject/26389895/,[美] 艾萨克·阿西莫夫 ,9.5,['阿西莫夫经典科幻小说']
金锁记,https://book.douban.com/subject/3017857/,张爱玲 ,8.6,['一个小商人家庭出身的女子曹七巧的心灵变迁历程']
简爱（英文全本）,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特 ,8.5,['灰姑娘在十九世纪']
庄子,https://book.douban.com/subject/2046236/,孙通海 译注 ,9.4,['野马也，尘埃也，生物之以息相吹也']
繁花,https://book.douban.com/subject/22714154/,金宇澄 ,8.7,['海上繁花，请静观静读']
众病之王,https://book.douban.com/subject/20507206/,[美] 悉达多·穆克吉 ,9.1,['癌症传']
强风吹拂,https://book.douban.com/subject/26210487/,三浦紫苑 ,9.0,['明明这么痛苦，这么难过，为什么就是不能放弃跑步？']
设计中的设计,https://book.douban.com/subject/1941558/,[日] 原研哉 ,8.6,['日常生活的无限可能性']
