电影名称,详情链接,颗星,评分,评分人数
疯狂原始人,https://movie.douban.com/subject/1907966/,rating45-t,8.7,632374人评价
三块广告牌,https://movie.douban.com/subject/26611804/,rating45-t,8.7,617127人评价
心迷宫,https://movie.douban.com/subject/25917973/,rating45-t,8.7,360149人评价
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,rating45-t,8.8,281074人评价
达拉斯买家俱乐部,https://movie.douban.com/subject/1793929/,rating45-t,8.8,330369人评价
卢旺达饭店,https://movie.douban.com/subject/1291822/,rating45-t,8.9,217090人评价
萤火虫之墓,https://movie.douban.com/subject/1293318/,rating45-t,8.7,326180人评价
荒蛮故事,https://movie.douban.com/subject/24750126/,rating45-t,8.8,307278人评价
你的名字。,https://movie.douban.com/subject/26683290/,rating4-t,8.4,1012675人评价
花样年华,https://movie.douban.com/subject/1291557/,rating45-t,8.7,418465人评价
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,rating45-t,8.6,581306人评价
真爱至上,https://movie.douban.com/subject/1292401/,rating45-t,8.6,532690人评价
记忆碎片,https://movie.douban.com/subject/1304447/,rating45-t,8.6,449581人评价
东邪西毒,https://movie.douban.com/subject/1292328/,rating45-t,8.6,443604人评价
爆裂鼓手,https://movie.douban.com/subject/25773932/,rating45-t,8.7,408599人评价
哈利·波特与密室,https://movie.douban.com/subject/1296996/,rating45-t,8.6,430658人评价
忠犬八公物语,https://movie.douban.com/subject/1959195/,rating45-t,9.2,135953人评价
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,rating45-t,8.8,306753人评价
黑天鹅,https://movie.douban.com/subject/1978709/,rating45-t,8.6,642777人评价
模仿游戏,https://movie.douban.com/subject/10463953/,rating45-t,8.7,443456人评价
头脑特工队,https://movie.douban.com/subject/10533913/,rating45-t,8.7,427851人评价
新世界,https://movie.douban.com/subject/10437779/,rating45-t,8.8,243729人评价
未麻的部屋,https://movie.douban.com/subject/1395091/,rating45-t,8.9,193320人评价
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,rating45-t,8.9,252674人评价
雨人,https://movie.douban.com/subject/1291870/,rating45-t,8.7,314503人评价
海街日记,https://movie.douban.com/subject/25895901/,rating45-t,8.8,291364人评价
无敌破坏王,https://movie.douban.com/subject/6534248/,rating45-t,8.7,390856人评价
冰川时代,https://movie.douban.com/subject/1291578/,rating45-t,8.6,467288人评价
恋恋笔记本,https://movie.douban.com/subject/1309163/,rating45-t,8.5,486546人评价
惊魂记,https://movie.douban.com/subject/1293181/,rating45-t,9.0,171978人评价
二十二,https://movie.douban.com/subject/26430107/,rating45-t,8.7,218487人评价
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,rating45-t,8.6,360496人评价
奇迹男孩,https://movie.douban.com/subject/26787574/,rating45-t,8.6,426009人评价
恐怖游轮,https://movie.douban.com/subject/3011051/,rating45-t,8.5,580850人评价
房间,https://movie.douban.com/subject/25724855/,rating45-t,8.8,293847人评价
虎口脱险,https://movie.douban.com/subject/1296909/,rating45-t,8.9,173950人评价
魔女宅急便,https://movie.douban.com/subject/1307811/,rating45-t,8.6,342749人评价
雨中曲,https://movie.douban.com/subject/1293460/,rating45-t,9.0,152071人评价
小偷家族,https://movie.douban.com/subject/27622447/,rating45-t,8.7,601244人评价
绿里奇迹,https://movie.douban.com/subject/1300374/,rating45-t,8.8,206429人评价
疯狂的石头,https://movie.douban.com/subject/1862151/,rating45-t,8.5,587674人评价
人工智能,https://movie.douban.com/subject/1302827/,rating45-t,8.6,322944人评价
爱在午夜降临前,https://movie.douban.com/subject/10808442/,rating45-t,8.8,238822人评价
